name,iata,icao,country,region
"Aeroflot",SU,AFL,"Russia",Europe
"Aeroitalia",XZ,AEZ,"Italy",Europe
"AeroLogic",3S,BOX,"Germany",Europe
"Aerotranscargo",F5,ATG,"Moldova",Europe
"Air Albania",ZB,ABN,"Albania",Europe
"Air Alsie",6I,MMD,"Denmark",Europe
"Air Atlanta Europe",CT,AAE,"Malta",Europe
"Air Atlanta Icelandic",CC,ABD,"Iceland",Europe
"Air Caraïbes",TX,FWI,"France",Europe
"Air Cargo Global",UB,CCC,"Slovakia",Europe
"Air Corsica",XK,CCM,"France",Europe
"Air Dilijans",RM,NGT,"Armenia",Europe
"Air Dolomiti",EN,DLA,"Italy",Europe
"Air Greenland",GL,GRL,"Denmark",Europe
"Air Hamburg",HH,AHO,"Germany",Europe
"Aircalin",SB,ACI,"France",Europe
"AIS Airlines",IS,PNX,"Netherlands",Europe
"AJet",VF,TKJ,"Turkey",Europe
"AlbaStar",AP,LAV,"Spain",Europe
"Alidaunia",D4,LID,"Italy",Europe
"ALROSA Air Company",6R,DRU,"Russia",Europe
"Amapola Flyg",HP,APF,"Sweden",Europe
"ASL Airlines Belgium",3V,TAY,"Ireland",Europe
"ASL Airlines France",5O,FPO,"France",Europe
"AtlasGlobal Ukraine",UH,UJX,"Ukraine",Europe
"Aurigny Air Services",GR,AUR,"United Kingdom",Europe
"Aurora",HZ,SHU,"Russia",Europe
"Azerbaijan Airlines",J2,AHY,"Azerbaijan",Europe
"Azimuth",A4,MUT,"Russia",Europe
"Azur Air",ZF,KTK,"Russia",Europe
"Belavia",B2,BRU,"Belarus",Europe
"BH Air",8H,BGH,"Bulgaria",Europe
"Central Connect Airlines",3B,JBR,"Czech Republic",Europe
"Chair Airlines",GM,GSW,"Switzerland",Europe
"Condor Flugdienst",DE,CFG,"Germany",Europe
"Corendon Airlines",XC,CAI,"Turkey",Europe
"Corendon Airlines Europe",XR,CXI,"Malta",Europe
"Corendon Dutch Airlines",CD,CND,"Netherlands",Europe
"Cyprus Airways",CY,CYP,"Cyprus",Europe
"Discover Airlines",4Y,OCN,"Germany",Europe
"easyJet Europe",EC,EJU,"Austria",Europe
"EasyJet Switzerland",DS,EZS,"Switzerland",Europe
"Edelweiss Air",WK,EDW,"Switzerland",Europe
"Enter Air",E4,ENT,"Poland",Europe
"EuroAtlantic Airways",YU,MMZ,"Portugal",Europe
"European Air Charter",H6,BUC,"Bulgaria",Europe
"European Cargo",SE,URO,"United Kingdom",Europe
"Eurowings Europe",E6,EWL,"Malta",Europe
"Evelop Airlines",E9,EVE,"Spain",Europe
"Ewa Air",ZD,EWR,"France",Europe
"FlyBosnia",6W,FBS,"Bosnia and Herzegovina",Europe
"FlyOne",5F,FIA,"Moldova",Europe
